,Title,Summary,Name
710,Sandcastles in the Sand,"Robin gives romance a second try with an old boyfriend, only to have him break her heart...again.",How I met your mother
711,The Goat,"Barney is upset because he violated his own ""bro code"" by sleeping with Robin. How will Ted react when he learns that Barney slept with his ex-girlfriend?",How I met your mother
712,Rebound Bro,"Barney finds a new wingman to replace Ted, but he's painfully shy and awkward around women. Meanwhile Ted discovers that his new girlfriend Stella hasn't had sex in 5 years.",How I met your mother
713,Everything Must Go,"Barney helps Abby get back at Ted by staging a fake proposal, but Abby doesn't realize that it's fake. Lily decides to sell some of her paintings so that she and Marshall can pay for floor repairs at their new place.",How I met your mother
714,Miracles,"Ted breaks up with Stella but immediately wants to take it back after a life-changing experience. However, Stella doesn't realize that he broke up with her. Meanwhile, Barney has a serious accident on his way to see Ted in the hospital.",How I met your mother
715,Do I Know You?,"Ted and Stella get engaged, but Ted soon learns that he doesn't know anything about her. Meanwhile, Barney confesses to Lily that he's in love with Robin",How I met your mother
716,The Best Burger in New York,"Marshall claims that he had the best hamburger in the world during his first week in New York City, but he forgot where the burger joint is located. The gang then hits the streets of Manhattan to help him find it.",How I met your mother
717,I Heart NJ,Ted does not want to move in with Stella because he hates New Jersey. Robin prematurely quits her TV job because she incorrectly thinks that she already has a new job.,How I met your mother
718,Intervention,"Ted, Robin, Marshall, and Lily all begin getting cold feet because of their imminent life changes, and Barney tries to prove that he can pick up a woman while posing as an 80-year-old man.",How I met your mother
719,Shelter Island,"Ted and Stella move up their wedding date, but the wedding may not go off as planned after Ted breaks the ""No Exes Rule"" and invites Robin to come in from Japan for the wedding.",How I met your mother
720,Happily Ever After,The gang tries to hide from Stella when they discover that they are eating at the same restaurant.,How I met your mother
721,Not a Father's Day,"While Barney celebrates a pregnancy false alarm, Marshall and Lily try to figure out if it's time to have a baby.",How I met your mother
722,Woooo!,"Lily is disappointed to discover that Robin is secretly a ""Woooo! Girl,"" and Barney secretly sabotages Ted's chance to get the contract to design a new bank skyscraper.",How I met your mother
723,The Naked Man,"When the gang learns that a bold, desperation date move got Robin into bed, Ted and Barney decide to try it out for themselves.",How I met your mother
724,The Fight,"The guys get invited to fight alongside Doug the Bartender. However, the fight doesn't go exactly how they imagined it to.",How I met your mother
725,Little Minnesota,"Ted tries to keep his irresponsible sister from hooking up with Barney during her trip to New York, and Robin starts hanging out with Marshall at a bar for Minnesotans, not telling them that she's really Canadian.",How I met your mother
726,Benefits,"Ted and Robin discover that sex with each other solve their fights as roommates, which makes Barney very jealous and angry. Meanwhile, Marshall reveals that he's too embarrassed to use the office bathroom.",How I met your mother
727,Three Days of Snow,"Ted and Barney get an opportunity to run their own bar during a historic blizzard, while Marshall and Lily try to defy the odds and continue one of their cherished traditions.",How I met your mother
728,The Possimpible,"Robin needs to find a television job in seven days or else she loses her work visa, and Barney volunteers to come to her aid. Meanwhile, Ted, Marshall, and Lily consider cleaning up their resumes",How I met your mother
729,The Stinsons,"The guys find out that Barney is pretending to have a wife and son to make his mother happy, but the charade is blown when Ted makes a move on Barney's ""wife.""",How I met your mother
730,"Sorry, Bro","Ted meets with his ex-girlfriend from college--a girlfriend who cheated on him constantly and Marshall and Lily can't stand, and Marshall tells the story about how he forgot to bring his pants to work.",How I met your mother
731,The Front Porch,"Ted becomes angry with Lily when he finds out that she has been sabotaging all his relationships that she did not approve of, including his relationship with Robin.",How I met your mother
732,Old King Clancy,"Barney and Marshall don't tell Ted that the plans for the building he has been working on have been scrapped, and the guys try to figure out which Canadian celebrity Robin slept with.",How I met your mother
733,Murtaugh,"Barney tries to do all the items on Ted's ""I'm too old for this stuff"" list while Marshall's over-competitive side comes out when he coaches Lily's kindergarten basketball team.",How I met your mother
734,Mosbius Designs,"Ted's plans to make his own design firm in his apartment hit a snag when his personal assistant begins sleeping with Robin, and Marshall tries to find a way to make himself indispensable at his workplace.",How I met your mother
735,The Three Days Rule,"Ted gets around the three-day rule by texting a woman he just met, but he doesn't realize that he's actually texting Barney and Marshall.",How I met your mother
736,Right Place Right Time,Ted recounts the series of random events that lead up to the chance meeting with the woman who would eventually become his wife.,How I met your mother
737,As Fast as She Can,"Stella's boyfriend Tony breaks up with her after having a conversation with Ted, prompting Stella to come back to Ted with a surprising request.",How I met your mother
738,The Leap,"While Ted struggles with an unorthodox architecture project, Robin finds out that Barney is in love with her, and Marshall threatens to take a long-considered leap from the roof to a neighboring building.",How I met your mother
739,Definitions,"As Ted begins his new career as a professor and is about to meet his future wife, Lily forces Barney and Robin to have ""the talk"" and define their new relationship.",How I met your mother
740,Double Date,"Ted goes on a blind date with the same woman he went on a blind date with seven years ago, and Barney and Marshall find Lily's stripper look-alike.",How I met your mother
741,Robin 101,"When Robin fears that Barney is cheating on her, she soon discovers that he is spending his evenings with Ted learning everything there is to know on how to date her",How I met your mother
742,The Sexless Innkeeper,"When Lily and Marshall realize that Robin and Barney are the perfect double-date friends, they try too hard to impress and come on too strong. Meanwhile, Ted gets a new nickname from Barney after an unsuccessful hook-up.",How I met your mother
743,Duel Citizenship,"While Barney tries to convince Robin to become an American citizen, Ted and Marshall's fabled road trip takes a wrong turn when Marshall invites Lily.",How I met your mother
744,Bagpipes,"Despite their best efforts to be the perfect couple, Barney's know-it-all attitude gets him in trouble with Robin and they are forced to ask Marshall and Lily for relationship advice.",How I met your mother
745,The Rough Patch,"After Barney and Robin hit a rough patch in their relationship, Lily devises the perfect plan to break them up, calling in help from Robin's famous friend, Alan Thicke.",How I met your mother
746,The Playbook,"When Barney hooks up with a woman Lily had been saving for Ted, she gets revenge by stealing his ""playbook,"" which contains all the moves he uses to pick up women. But will Barney have the last laugh?",How I met your mother
747,Slapsgiving 2: Revenge of the Slap,"Barney freaks out when Marshall bequeaths a ""slap bet"" slap to Ted and Robin. Meanwhile, Lily's estranged father shows up for Thanksgiving.",How I met your mother
748,The Window,"Maggie a girl next door Ted has wanted to date for years has suddenly broken up with her latest boyfriend, giving him and many other guys a chance to score with her.",How I met your mother
749,Last Cigarette Ever,"Although he vowed to Robin and Marshall that he would never tell them, Ted finally tells his kids that at one time both Robin and Marshall used to smoke. In 2009, they both felt like they had good reason to do so. Marshall, only an occasional smoker, always said that each cigarette was his last. But when his old boss, the meanest man nicknamed Artillery Arthur, became his new boss, he thought he was going to be fired - again. So when Marshall found out that Arthur was a smoker, Marshall used it as a bonding mechanism to keep his job. Robin, at the time anchoring the ...",How I met your mother
750,Girls vs. Suits,"Barney chooses between wearing suits and sleeping with a sexy bartender. Meanwhile, Ted gets ever closer to meeting ""the mother"".",How I met your mother
751,Jenkins,"When Marshall finds out he's the ""reacher"" in his relationship with Lily and not the ""settler,"" he considers pursuing a sexy and cool female coworker. Meanwhile, Ted finds out Robin is a drinking game for his architecture students.",How I met your mother
752,Perfect Week,When Barney is about to complete the perfect week - landing seven different girls in seven days - the gang roots him on in order to forget about their own miserable week.,How I met your mother
753,Rabbit or Duck,"Barney runs into problems when he displays his cell phone number during the Super Bowl, Ted asks Marshall and Lily to arrange a marriage for him, and Robin thinks that her co-anchor has asked her out on a date.",How I met your mother
754,Hooked,"When the gang tries to convince Ted that he is being strung along by Tiffany, they reflect about relationships where each of them has been in the same situation.",How I met your mother
755,Of Course,"After the guys discover that Robin deliberately got Barney hooked up with an incompatible female writer, they find out that that they didn't realize that Robin hasn't been handling their breakup very well.",How I met your mother
756,Say Cheese,"Ted angers Lily when he brings a random date to her birthday party, so she is forced to remind him of all the other random women he has brought along to important functions, only to discover that they weren't ""the one.""",How I met your mother
757,Zoo or False,"Marshall comes up with a number of different outrageous and embarrassing stories to explain how he was mugged in Central Park, but which of his stories is the truth?",How I met your mother
758,Home Wreckers,"Ted reacts to his mom's second wedding by making the capricious decision to buy his ""dream house,"" while everyone tries to figure out whether Barney or Robin cried at the wedding.",How I met your mother
759,Twin Beds,"As Robin contemplates moving in with her new boyfriend Don, Ted and Barney both decide that they want her back. Meanwhile, Marshall and Lily think they've revolutionized modern marriage when they begin sleeping in separate beds.",How I met your mother
760,Robots vs. Wrestlers,"Barney is worried that the old gang is falling apart when Ted blows off a ""Wrestlers vs. Robots"" competition so that he can stay at a snobby party.",How I met your mother
761,The Wedding Bride,"Ted is livid when he discovers that the man Stella left Ted for at the altar wrote a blockbuster movie about the incident, and portrays Ted as the bumbling, mean-spirited bad guy.",How I met your mother
762,Doppelgangers,"Marshall and Lily think they've spotted Barney's doppelganger, which means that they can start trying to have a baby, but it's really Barney in disguise. Meanwhile, Ted goes blonde and Robin considers taking an anchor job in Chicago.",How I met your mother
763,Big Days,"Ted musters up the courage to talk to a girl at the bar, but then discovers she's there with one of his exes. Meanwhile, Lily is mad at Marshall because he told his dad they're trying to have a baby, and Robin lets herself go.",How I met your mother
764,Cleaning House,"The gang accompanies Barney and his brother James after they find the man who may be Barney's father, but it turns out to be James' father instead.",How I met your mother
765,Unfinished,"When Ted declines Barney's offer to design the new GNB building, Barney tries to woo him by using all of his best womanizing tactics. Meanwhile, Robin is still not over her relationship with Don and drunk dials him.",How I met your mother
766,Subway Wars,"The guys race each other, each using a different form of transportation, from the pub to a restaurant seven miles away because a friend claims that Woody Allen is there.",How I met your mother
767,Architect of Destruction,"Is Ted having second thoughts about designing GNB's new skyscraper because it would tear down a landmark, or because he's trying to impress a woman? Meanwhile, Lily shares a secret about Robin's new boyfriend with Marshall.",How I met your mother
768,Baby Talk,"Marshall takes steps to make sure that he and Lily have a baby boy, but Lily has other ideas. Meanwhile, when Ted begins dating Robin's co-anchor, Barney is inspired to use baby talk to pick up women, and Robin feels betrayed.",How I met your mother
769,Canning Randy,"Marshall struggles to fire an incompetent employee, everyone tries to figure out whom Robin slept with Halloween night, and Zoey, the GNB skyscraper protester, finds a way to turn Ted's class against him.",How I met your mother
770,Natural History,"Ted and Zoey's feud continues during a fundraiser at the Museum of Natural History. Meanwhile, Marshall confesses to Lily that he enjoys his job at GNB, and a prank by Barney and Robin may lead Barney to his real father.",How I met your mother
771,Glitter,"While Barney finds a new video from Robin's Canadian teen star past, Lily fears that a baby could come between her friendship with Robin. Meanwhile, Ted's obnoxious old friend, ""Punchy,"" comes from Cleveland for a visit.",How I met your mother
772,Blitzgiving,"When Ted leaves the bar early to prepare a Thanksgiving feast for his friends, the gang winds up partying all night with The Blitz, an old friend from college who has bad luck. As a result, Ted is forced to spend Thanksgiving with Zoey.",How I met your mother
773,The Mermaid Theory,"Ted goes on a boating trip with Zoey's husband, ""The Captain."" Meanwhile, Barney's ""Mermaid Theory"" prevents Marshal from having a nice dinner with Robin, and the narrator tries to recall the details of a fight between Lily and Barney.",How I met your mother
774,False Positive,"Barney and Robin contemplate drastic positive changes in their lives when Marshall and Lily announce that Lily is pregnant, but renege on their promises when Marshall and Lily tell them that it was a false positive.",How I met your mother
775,Bad News,"Marshall suspects that he is the reason Lily can't get pregnant after meeting a fertility doctor who also happens to be Barney's doppelganger. Meanwhile, Robin's embarrassing past is revealed at work by her former co-anchor.",How I met your mother
776,Last Words,"The gang tries to support Marshall and Lily tries to help his mom during Marshall's father's funeral, but Marshall becomes preoccupied when he discovers that he has one final voicemail message from him.",How I met your mother
777,Oh Honey,"Ted discovers that he is in love with Zoey after she tries to set him up on a date with her naive cousin, and he cuts off their friendship as a result. But little does he know that her marriage status has changed and she loves him too.",How I met your mother
778,Desperation Day,"Lily goes to Minnesota to bring Marshall back, but he's not ready to leave yet. Meanwhile, Ted and Zoey's relationship gets off to a rocky start, and Barney searches for a female ""victim"" the night before Valentine's Day.",How I met your mother
779,Garbage Island,"The Captain asks Ted to help find out who stole Zoey away from him, Marshall withholds sex until he does something to help the environment, and Barney is reluctant to admit that he has a crush on Robin's friend.",How I met your mother
780,A Change of Heart,"The gang gets mad at Barney when he lies to Nora and says he wants to get married and have a family to impress her, and Robin begins dating a guy who seems to possess several canine characteristics.",How I met your mother
781,Legendaddy,"Barney finally meets his biological father, but is disappointed to discover that he leads a boring life and is nothing like him.",How I met your mother
782,The Exploding Meatball Sub,"Despite Zoey still opposing the new GNB headquarters being built on the Arcadian Hotel site, Ted and Zoey's personal relationship is thriving. That issue is only one of the many disagreements in their life, which Ted likens to the two challenging each other mentally. On the other hand, he sees Marshall and Lily's relationship as being boring, as they agree on everything to the point of them almost melding into one person. Lily and Marshall, on the other hand, see their relationship as being supportive, the way that relationships should be, whereas they see Ted and ...",How I met your mother
783,Hopeless,"When Barney tries to bond with his father, he asks the gang to help make his life seem more exciting by lying about their own lives. Meanwhile, Robin runs into a guy she has a crush on.",How I met your mother
784,The Perfect Cocktail,"When Marshall switches sides on the Arcadian dispute, his friendship with Barney is compromised and the gang is banned from the bar. Meanwhile, Ted finally finds the courage to confront Zoey about the same topic.",How I met your mother
785,Landmarks,"Ted is forced to make the final decision on whether he thinks The Arcadian should be declared a landmark, and his future with Zoey and Barney's future at GNB hinge on his decision.",How I met your mother
786,Challenge Accepted,"In the aftermath of Ted and Zoey's break-up, Ted is having second thoughts. He is freaking out about an issue with the GNB headquarters, and historically when Ted freaks out about something, he turns to dating an old girlfriend if only for something comfortable and familiar, however bad returning to that relationship ended up being. When Barney and Robin find out that Ted is going to meet Zoey to get back together with her, they have to try and figure out where that meeting place is so that they can stop him. Beyond piecing together this puzzle, Barney and Robin's ...",How I met your mother
787,The Best Man,"While Barney prepares for his wedding to a mystery bride, he and Ted reminisce about Punchy's wedding, including when Marshall and Lily announced they were having a baby. Meanwhile, Robin considers telling Barney she has feelings for him.",How I met your mother
788,The Naked Truth,"Ted tries to choose a date for the Architect's Ball, an embarrassing Internet video could cost Marshall a new job, and Barney makes a bold move to prove to Nora that he's a changed man.",How I met your mother
789,Ducky Tie,"At the Architect's Ball, Ted runs into Victoria, who tells him that she's getting married. Meanwhile, Barney places an unlikely wager with Marshall and Lily in order to see Lily's breasts.",How I met your mother
790,The Stinson Missile Crisis,"Jealous over Barney's relationship with Nora, Robin tells her court-appointed therapist the series of events that led up to the assault that she committed.",How I met your mother
791,Field Trip,"Robin tries to date her therapist, Marshall thinks his boss has gone soft on environmentalism, Barney suspects that Nora may be lying about her age, and Ted takes his Intro to Architecture class on the worst field trip ever.",How I met your mother
792,Mystery vs. History,Ted agrees to go on a date without researching her on the Internet beforehand; Barney urges Marshall and Lily to find out and reveal the gender of their child; and Kevin tries but fails to avoid passing judgment on the group.,How I met your mother
793,Noretta,"Kevin's declaration that everybody marries their parents ruins Marshall and Lily's romantic evening, but will anything keep Barney from getting lucky with Nora? And will Kevin finally get fed up with Ted and Robin's close relationship?",How I met your mother
794,The Slutty Pumpkin Returns,"Ted finds his long-lost crush from a Halloween party 10 years ago, but will there be any chemistry? Meanwhile, Lily's ""pregnancy brain"" convinces her to move to the suburbs, and Barney finds out he's one-quarter Canadian.",How I met your mother
795,Disaster Averted,"The gang explains to Kevin the origins of the ""No Boogie-Boarding"" sign in front of MacLaren's, which has to do with Hurricane Irene. Meanwhile, Barney negotiates with Marshall about how to get out of wearing the ducky tie.",How I met your mother
796,Tick Tick Tick,"Barney and Robin are afraid to break the news to Nora and Kevin that they cheated with each other and want to get back together, while Ted and Marshall get stoned together at a concert.",How I met your mother
797,The Rebound Girl,"While Robin tries to talk Marshall and Lily out of moving to Long Island, Ted and Barney make the decision to become ""bro-parents.""",How I met your mother
798,Symphony of Illumination,"After Robin tells Barney that she's pregnant with his child, she receives some shocking news from her doctor. Meanwhile, a neighborhood teen plays a trick on Marshall while he decorates his house with Christmas lights.",How I met your mother
799,Tailgate,"After celebrating New Year's Eve, Marshall visits his father's graveside to carry on their tradition of tailgating. Meanwhile, Barney and Ted open a bar called ""Puzzles,"" and Robin is forced to fill in for an inebriated news anchor.",How I met your mother
800,46 Minutes,"While Marshall and Lily spend their first night in their new home after deciding to permanently move to Long Island, Barney takes over as group leader in Manhattan--both with disastrous results.",How I met your mother
801,The Burning Beekeeper,Lily and Marshall throw a housewarming party where Ted nearly comes to blows with Marshall's boss; Barney hits on a crazy divorcee.,How I met your mother
802,The Drunk Train,"Kevin proposes to Robin, but will he take it back when Robin tells him she can't have children? Meanwhile, Barney and Ted try to score on the ""drunk train"" to Long Island, but something is surprisingly holding Barney back.",How I met your mother
803,No Pressure,"While Ted waits to find out whether Robin loves him back, he discovers that Marshall and Lily have been trying to influence him in opposite directions to win a bet. Meanwhile, Barney tries to find Marshall and Lily's sex tape.",How I met your mother
804,Karma,"Barney gets played and heart-broken over a stripper named ""Karma,"" Robin becomes bored with her life on Long Island with Marshall and Lily, while Ted searches for a hobby to fill the empty space in Robin's old room.",How I met your mother
805,The Broath,"The gang tries to break up Barney and Quinn after learning they plan on moving in together, leaving Robin and Ted to fight over who deserves to sublet her apartment.",How I met your mother
806,Trilogy Time,"As Ted, Marshall, and Barney get together for their triennial viewing of the original Star Wars trilogy, Ted begins to question if he will ever end up where he wants to be - especially now that Barney and Quinn are getting serious.",How I met your mother
807,Now We're Even,"Just as Ted starts to settle into his new apartment alone, Barney tries to entice him into going out every single night. Meanwhile, Lily has a naughty dream about someone other than Marshall, and Robin finally becomes a famous news anchor.",How I met your mother
808,Good Crazy,"Barney tries to set Ted up on dates so that he can forget about Robin, while also plotting to get Quinn out of her stripping job. Meanwhile, Lily sends Marshall on a getaway so that he will stop stressing over the baby.",How I met your mother
809,The Magician's Code: Part 1,Ted and Robin take care of Lily when she goes into labor because Marshall is drunk and stuck in Atlantic City with Barney.,How I met your mother
810,The Magician's Code: Part 2,"Ted makes a fateful phone call to his old girlfriend Victoria, Barney's magic trick gets him in trouble with airport security just as he's about to leave on a trip with Quinn, and Robin tries to take the perfect birth announcement photo.",How I met your mother
811,Farhampton,"Ted convinces Victoria to take a brief detour before they leave together after she leaves her fiancé at the altar, and Barney's engagement to Quinn may be short-lived after she finds about his past relationship with Robin.",How I met your mother
812,The Pre-Nup,"Barney's ridiculous pre-nup that he asks Quinn to sign gives the other guys ideas of their own, but the girls find a way to retaliate.",How I met your mother
813,Nannies,"When Lily and Marshall have trouble finding a nanny, they learn it's because of an elaborate scheme Barney came up with to meet girls. Meanwhile, Robin and Ted butt heads over who has a more serious relationship.",How I met your mother
814,Who Wants to Be a Godparent,"When Lily and Marshall can't decide on godparents for Marvin, they put the gang to the test to see who would make the best one.",How I met your mother
815,The Autumn of Breakups,"As the season of break-ups continues, Ted and Victoria must choose the next step in their long and complicated relationship. Meanwhile, Robin worries about Barney when he chooses a dog to be his wingman.",How I met your mother
816,Splitsville,"When Robin is hesitant to break up with Nick, Barney takes matters into his own hands. Meanwhile, Lily and Marshall are desperate for some private time.",How I met your mother
817,The Stamp Tramp,"Marshall gets in the doghouse at work after he recommends a friend for a job, Robin helps Barney find a new strip club, and Ted is embarrassed after watching his video diary from college.",How I met your mother
818,Twelve Horny Women,"While Marshall faces the most important court case of his career against his new arch-nemesis, Brad Morris, the rest of the gang tries to figure out which one was the biggest bad-ass in their youth.",How I met your mother
819,Lobster Crawl,"Robin has a plan to get Barney out of her system for good, Ted witnesses Marvin's first crawl while babysitting for Marshall and Lily, and Barney has a new business idea after destroying a beloved tie.",How I met your mother
820,The Over-Correction,"Robin tries to get Barney's ""Playbook"" out of jealousy over his new girlfriend, Marshall catches his mom having sex with Lily's dad, and Ted tries to get everything back that was borrowed from him and never returned.",How I met your mother
821,The Final Page: Part One,"Ted wants to rub his new building in the face of an old professor, Barney is the victim of a lengthy jinx, Marshall and Lily run into an annoying old acquaintance, and Robin gets an opportunity to fire Patrice.",How I met your mother
822,The Final Page: Part Two,"Will Ted go to the opening of his new building with Robin as his date, or will he break his promise to Barney and tell her that Barney is proposing to Patrice? Meanwhile, Marshall and Lily have big plans for a rare night out.",How I met your mother
823,Band or DJ?,"Robin's dad denies Barney permission to marry his daughter, Marshall and Lily deal with Marvin's constipation, and why is Ted so dead-set against hiring a band for Barney and Robin's wedding?",How I met your mother
824,Ring Up!,"Barney convinces Ted to sleep with a 20 year old until Barney learns her identity, Robin discovers that her engagement ring makes her invisible, and a leather cuff improves Marshall and Lily's love life.",How I met your mother
825,P.S. I Love You,Robin's past as a Canadian pop star is revisited when Barney uncovers the lost episode of a music documentary series in which she was featured as Robin Sparkles. Marshall and Lily have some concerns about Ted's latest girlfriend.,How I met your mother
826,Bad Crazy,"Ted's attempt to break up with his crazy new girlfriend does not go as planned, and Robin's fear of holding Marvin leads to an adventure with Mike Tyson.",How I met your mother
827,The Ashtray,"When Ted receives an unexpected call from The Captain, the gang reminisced about their last awkward encounter with him.",How I met your mother
828,Weekend at Barney's,"Barney is forced to break out ""The Playbook"" one final time to keep Ted from getting back together with Jeanette and taking her to his wedding, and Marshall embarrasses Lily at an art exhibition.",How I met your mother
829,The Fortress,"It's weeks before Barney and Robin's wedding, and one of the many things they still have to decide is where to live. The one thing Robin insists is that they don't live at Barney's apartment. So it goes on the market. However, Barney doesn't want to sell it to just anyone, but someone who is worthy of what was and will always be in his heart his ""Fortress of Barnitude"". Robin has a slightly different idea, which isn't as easy to achieve as she would like when she and others learn more and more about with what Barney has equipped his apartment. Meanwhile, Lily hasn't ...",How I met your mother
830,The Time Travelers,"Ted and Barney run into their future selves as they debate whether to go to ""Wrestlers vs. Robots,"" while Robin and Marshall argue over who gets credit for a new drink at McLaren's.",How I met your mother
831,Romeward Bound,"""The Captain"" offers Lily a job in Rome, but will she take it? Meanwhile, Ted won't stop raving about the body of Barney and Robin's wedding planner.",How I met your mother
832,The Bro Mitzvah,"Ted and Marshall turn Barney's bachelor party into the worst night of his life, or is that exactly what they want him to believe?",How I met your mother
833,Something Old,"Robin searches for a locket that she buried in Central Park for her wedding, Ted helps Marshall and Lily pack for Italy, and Barney plays laser tag with his future father in law.",How I met your mother
834,Something New,"As the wedding approaches, Barney and Robin deliberately ruin an obnoxious couple's evening, Marshall and Lily's plans for Italy hit a snag and Ted tells Lily that he's moving to Chicago.",How I met your mother
835,The Locket,"Lily meets an interesting person on the train to Farhampton, Marshall gets kicked off his flight to New York, Barney and Robin discover that they might be related, and Ted prepares to deliver a personal gift to Robin.",How I met your mother
836,Coming Back,"Marshall is forced to rent a car to get to New York, causing Lily to start drinking and accidentally reveal to Barney some bad news about his brother's marriage.",How I met your mother
837,Last Time in New York,"Barney and Robin try to have sex before the elderly wedding guests arrive, Ted reveals a list to Lily of things to do before he leaves New York, and Marshall has problems traveling through Packer Country.",How I met your mother
838,The Broken Code,"Barney gives Ted's Best Man duties to The Karate Kid's William Zabka over the incident at the carousel, and Lily gives Robin a lousy bridal party.",How I met your mother
839,The Poker Game,"Barney is upset after Robin wins James's wedding ring during the poker game, and Ted argues with Marshall and Lily over whether he gave them a wedding gift.",How I met your mother
840,Knight Vision,"When Ted finds himself with three prospects to be his date for the wedding weekend, he chooses poorly. Meanwhile, Barney and Robin have a confrontation with their minister, and Marshall learns more about his driving companion, Daphne.",How I met your mother
841,No Questions Asked,"When Daphne sends a troubling text message to Lily, Marshall enlists the gang's help to remove the message while enforcing the ""No Questions Asked"" rule.",How I met your mother
842,The Lighthouse,"When Robin and Loretta's conflict escalates, Barney is caught in the middle. Meanwhile, Marshall and Daphne deal with a stowaway on their road trip, and Ted and Cassie try to enjoy a trip to a lighthouse.",How I met your mother
843,Platonish,"After Robin finds out her mother isn't coming to the wedding, the group recalls a fateful night six months ago when Barney accepted the ""challenge"" of a lifetime, and Ted made a decision about his pursuit of Robin.",How I met your mother
844,Mom and Dad,"Barney and James fight over which one of their fathers will get back together with their mom, Ted becomes a victim of ""Zabkatage,"" and Daphne becomes inexplicably upset with Marshall.",How I met your mother
845,Bedtime Stories,"On the bus to Farhampton, Marshall tells Marvin bedtime stories about Ted, Robin and Barney in rhyme.",How I met your mother
846,The Rehearsal Dinner,"Barney becomes fixated on having his rehearsal dinner at a laser tag arena, much to Robin's dismay. Meanwhile, Ted doesn't come through on a promise, which aggravates Lily.",How I met your mother
847,Bass Player Wanted,"The gang encounters a guy at the wedding who intentionally stirs up trouble among them, and Marshall finally arrives at the Farhampton Inn.",How I met your mother
848,Slapsgiving 3: Slappointment in Slapmarra,"In an attempt to deliver a devastating final slap to Barney, Marshall explains how he mastered the Slap of A Million Exploding Suns.",How I met your mother
849,Unpause,"Robin and Ted take advantage of Barney when he becomes ""truth serum drunk,"" and Marshall does everything he can to remain in ""pause"" with Lily and avoid their fight.",How I met your mother
850,How Your Mother Met Me,"The story of The Mother, from her traumatic 21st birthday to a number of close calls with meeting Ted to the night before Barney and Robin's wedding.",How I met your mother
851,Sunrise,"While out looking for Barney on the day of the wedding, Robin and Ted reminisce about past relationships. Meanwhile, Marshall and Lily finally resolve their issues and Barney befriends two young guys eager to meet women.",How I met your mother
852,Rally,"On their wedding day, Barney has a massive hangover. The gang tries to help him get over the hangover by finding the correct ingredients.",How I met your mother
853,Vesuvius,"Lily is concerned that Robin is not acting appropriately on her wedding day, Ted helps Barney pick his wedding suit, and the gang watch an embarrassing movie based on Ted's life.",How I met your mother
854,Daisy,"The guys try to figure out where Lily went after her fight with Marshall and why. Meanwhile, after a talk with her mother, Robin is concerned that she is marrying her father.",How I met your mother
855,Gary Blauman,"Ted wants to get a wedding guest he especially despises to leave, but Lily wants him to stay because she likes him.",How I met your mother
856,The End of the Aisle,"With only half an hour to go, both Barney and Robin have panic attacks about their upcoming nuptials. Meanwhile, Marshall and Lily rewrite their old wedding vows.",How I met your mother
857,Last Forever: Part One,"After Barney and Robin's wedding, Ted builds up the courage to approach ""the mother"" at the train station. Meanwhile, three years after the wedding, Barney and Robin drop a bombshell on the group.",How I met your mother
858,Last Forever: Part Two,"As the years go on, changes cause the group to drift apart, but they reunite one more time for Ted's wedding. Meanwhile, a monumental event causes Barney to finally change his ways.",How I met your mother
859,Pilot,"Jay must adapt to his young new wife, Gloria and her son. Meanwhile, Claire deals with her own family. Mitchell and Cam decide to adopt a baby.",Modern Family
860,The Bicycle Thief,"After buying a new bike for his son, Phil ends up lying when it gets stolen. Jay tries bonding with Manny. Cam and Mitchell begin daycare classes for Lily.",Modern Family
861,Come Fly with Me,"Jay takes Phil on a model-airplane excursion with disastrous results. While Manny is at their house, Claire must get used to the fact they are actually siblings.",Modern Family
862,The Incident,Jay's ex-wife shows up for the first time following a nasty incident at Gloria and Jay's wedding.,Modern Family
863,Coal Digger,A conflict between Manny and Luke spreads to their respective parents during a football game.,Modern Family
864,Run for Your Wife,"Claire and Phil have mixed feelings regarding the first day of school for the kids. Jay and Gloria argue about an outfit for Manny, and a minor problem with Lily gets blown out of proportion by Mitchell and Cameron.",Modern Family
865,En Garde,"The whole family comes out to support Manny's newfound interest - fencing. It turns out he's quite masterful in the sport, but Jay's proud enthusiasm triggers an old childhood wound for Mitchell. Meanwhile Phil is determined to find where Luke's hidden talents lie.",Modern Family
866,Great Expectations,"Jay has a sleepover for his grandkids, but Haley is looking for a way out. Claire tries to get a perfect anniversary gift for Phil, and Mitchell and Cameron discover that their ladyfriend is crazy and jealous of their daughter.",Modern Family
867,Fizbo,"Cameron breaks out his favorite clown costume to make Luke's birthday party a hit. However, a series of accidents causes the party to break into chaos and leads to an unfortunate injury.",Modern Family
868,Undeck the Halls,Phil and Claire cancel Christmas for their kids until they confess to wrongdoings at the house. Jay is hesitant to celebrate Gloria and Manny's holiday traditions. Mitchell and Cameron take Lily to meet Santa.,Modern Family
869,Up All Night,"Manny's dad shows up bearing extravagant gifts, Mitchell and Cameron fight over how to care for their daughter when she cries at night, and Claire tries to impress the firefighters who responded to Phil's kidney stone 911 call.",Modern Family
870,Not in My House,"Gloria plots to get rid of Jay's new ""dog butler,"" Cameron's helpful nature gets himself in trouble with Mitchell, and Claire asks Phil to punish their son for looking at nude pictures, not knowing they're Phil's.",Modern Family
871,Fifteen Percent,"Mitchell tells Jay that one of his friends is gay to teach him a lesson, Claire gets frustrated with Phil's new master remote control, and Gloria gives Manny's ""date"" a makeover to improve her self-esteem.",Modern Family
